event_id,type,title,details,date,speaker,description
3.22966E+11,WORKSHOP,Data Quality and Reliability with Soda Core,Building a data quality and reliability system,26-04-2022,Vijay Kiran,"In this hands-on workshop, we’ll learn how to use Soda Core, an open-source project for testing, monitoring, and validating data quality and SodaCL, a new open-source Domain Specific Language for data reliability engineering.

You’ll get hands-on guidance to:

Install Soda and set up the environment
Use SodaCL to define data quality checks
Integrate Soda Core to an Airflow data pipeline
We’ll cover simple checks (row count, number of null values, number of duplicates), more complex ones (schema changes). We’ll also see how to define our own checks in SQL.

By the end of this workshop, you’ll be able to add data quality and reliability monitoring to your data system.

Setup / prerequisites:

Terminal
Docker — we’ll need it for running the database (postgres)
A code editor
Python 3.8+
To prepare the environment, use these instructions: https://github.com/sodadata/datatalks-workshop.git"
3.22512E+11,PODCAST,From Roasting Coffee to Backend Development,Changing career and leading a community,22-04-2022,Jessica Greene,"Outline:

Changing career, internships and summer of code scholarships
Community organisation
Public speaking
Working for a mission led company
"
2.93904E+11,WORKSHOP,Building Machine Learning Pipelines with Kedro,Kedro crash course,19-04-2022,Merel Theisen,"In this hands-on workshop, we’ll go through a Kedro tutorial. We’ll cover the following steps:

How to build machine learning pipelines in Kedro
How to run pipelines in Kedro
How to visualise your pipelines
By the end of this workshop, you’ll be able to use Kedro on your machine learning projects."
3.15102E+11,PODCAST,Recruiting Data Engineers,Confessions of a data engineering recruiter,14-04-2022,Nicolas Rassam,"Outline:

Main challenges of hiring data engineers
Initial interview with the recruiter
Expectations for junior vs middle vs senior data engineers
Getting hired without prior data engineering experience"
3.05669E+11,WORKSHOP,Federated Learning to the Rescue,Machine learning for data that can not be shared,12-04-2022,"Orlando Hohmeier, Jan Schlicht","Outline:

In this session, we'll explore:

How federated learning works
How it solves the data challenge
And see it in action.
"
3.10931E+11,PODCAST,Storytime for DataOps,"DataKitchen: The What, Why, and How of DataOps",08-04-2022,Christopher Bergh,"Outline:

Organisations are fast understanding that to be data fluent, strong data pipelines are essential. DataOps is becoming increasingly critical to assist analytic and data teams in improving quality and reducing the cycle time of data analytics. However, before that dream can be achieved, it is crucial to understand the what, why, and how of DataOps.
Chris Bergh, Founder and CEO of DataKitchen, begins by introducing DataOps and the important distinctions from DevOps. He also explains how businesses should build a DataOps team and what kind of principles DataOps leadership should be spearheading.
Finally, Chris explains the preparation needed from a cultural change perspective and also offers insight into why businesses might not have embraced it and why they should."
3.0843E+11,WEBINAR,Analytics Use Cases Across Non-Automated Operations,Leveraging analytics in environments where data creation is not automatic,05-04-2022,Delina Ivanova,"Outline:

Building the case for data collection and management
Using experimentation to collect data and establish an operational baseline
Building ongoing data collection practices and mechanisms
Analytical and automation use cases once data is collected"
3.0916E+11,PODCAST,Machine Learning and Personalization in Healthcare,Nudging users towards better behaviour ,01-04-2022,Stefan Gudmundsson,"Outline:

ML in healthcare
Personalisation in health care apps
Main challenges"
2.93882E+11,WORKSHOP,Hands-On Data Monitoring with whylogs,Setting up a data observability system with open-source tools,29-03-2022,Danny Leybzon,"In this hands-on workshop, we’ll learn how to set up a system for monitoring your data pipelines, ensuring data quality and detecting changes in your data. Without data monitoring, it’s impossible to guarantee to your stakeholders that the data that they are using for their analytics and machine learning use cases is trustworthy. By setting up a data observability system, you’ll be able to get visibility into the health of your data pipelines, thus building your customers’ trust in your work.

In this workshop, we’ll cover the following:

Introduction to data observability and monitoring
whylogs — the open source standard for data logging
How to monitor batch Python or Spark data pipelines with whylogs
How to monitor Kafka streaming pipelines with whylogs
By the end of this workshop, you’ll be able to set up such a system yourself.

For the workshop, you'll need:

Account in Deepnote(optional but helpful)
Account in Confluent cloud (required for the streaming part - instructions)
Code: https://github.com/DataTalksClub/whylogs-workshop
"
3.01232E+11,PODCAST,Innovation and Design for Machine Learning,When design thinking meets data,24-03-2022,Liesbeth Dingemans,"Outline:

Design and design thinking
Design thinking for machine learning projects
Innovation and machine learning
Ideal data team"
2.93562E+11,WEBINAR,Modern Data Warehouse,"Design, Build, Deploy and Monitor DWH solution",22-03-2022,Rahul Jain,"Outline:

Blueprint of Modern Data Warehouse architecture
Build in phases
Deployment model
Monitor production workload
"
2.94973E+11,PODCAST,Hacking Your Data Career,Doing the opposite of what people tell you and other hacks,18-03-2022,Marijn Markus,"Outline:

Do the opposite of what people tell you
Pet projects
Doing good with data"
2.86185E+11,WEBINAR,Productionizing a Feature Store for Fraud Detection at Ubisoft,Data as code,15-03-2022,Jeanine Harb,"Ubisoft's e-commerce channels are attractive targets for fraudsters looking to acquire games and in-game products without necessarily paying for them. In order to detect fraud, we leverage machine learning models capable of flagging fraud patterns thanks to feature engineering. In this talk, we describe how we designed a Feature Store that defines fraud-related features as code, how it interfaces with training and inference environments, and the challenges we faced while putting it in production!"
2.92194E+11,PODCAST,Visualising Machine Learning,Using visuals to learn and explain concepts in ML,11-03-2022,Meor Amer,"Outline:

Using visuals to simplify complex concepts
Coming up with visual ideas
Tools for making visuals
Writing a visuals-first book
"
2.89352E+11,PODCAST,From Math Teacher to Analytics Engineer,"Transitioning, networking, and building a portfolio",04-03-2022,Juan Pablo,"Outline:

Moving from teaching math to doing analytics
Building online presence
Networking
Interview preparation"
2.73871E+11,PODCAST,From Data Science to Data Engineering,From training models to building data pipelines,03-03-2022,Ellen König,"Outline:

The responsibilities of data scientists and data engineers
Plan for the transition
Learning data engineering for data scientists"
2.414E+11,WEBINAR,The Unspoken Relationship - Product Managers and Data Scientists,Challenges of Data Scientists + Product Managers interactions,01-03-2022,Sivan Biham,"Everyone talks about the relationship between product managers and the development team, but did you ever hear anyone talk about the relationship between product managers and the data science team? Maybe it’s time to start!

In this talk, Sivan will shed light on this unspoken subject, and explain the unique challenges of Data Scientists + Product Managers interactions. Drawing on her own experience as an algorithm researcher in a product-oriented startup, she will share insights from working in a cross-platform team that includes product managers, developers, and data scientists. This talk will help you build a better relationship between Data Scientists and Product Managers in your organization."
2.74015E+11,WEBINAR,Helping People Get Jobs with Data,"Using Data Analytics, drive impact for Employers and Jobseekers",28-02-2022,Padma Chitturi,"Data changing the face of recruitment business.
Business Impact driven by Enterprise Data Analytics teams.
Data Platform in Enterprise Data Analytics team.
Leveraging hybrid cloud environments for better results with optimal cost.
Data Tools and Tech Stack.
Integrated Data Observability for ETL pipelines.
How are the different roles in Analytics teams collaborate on achieving common objectives !"
2.68577E+11,PODCAST,Becoming a Data Engineering Manager,From data engineer to manager,18-02-2022,Rahul Jain,"Outline:

Transitioning to the manager role and the main challenges
Qualities of a great data team
Upskilling people"
2.30532E+11,WORKSHOP,Monitoring Model Performance with Crowdsourcing,Building a human in the loop system for ML observability,16-02-2022,Magdalena Konkiewicz,"In this hands-on workshop, we’ll go through all the stages of building a human-in-the-loop system that monitors the performance of a machine learning model.

We’ll cover:

Designing a system for monitoring model performance
Sampling the model’s predictions and using crowdsourcing for evaluating whether these predictions are correct
Visualizing the collected data
Automatically retraining the model when performance degrades
Using the collected data for retraining
By the end of this workshop, you’ll be able to design a similar system for monitoring the quality of your own ML models.

Important: Register an account in Toloka before the workshop: https://alexeygrigorev.notion.site/Registering-in-Toloka-bec507b358594c3f8a245c5bff12508a"
2.63846E+11,PODCAST,A/B Testing,Growing product through experimentation,11-02-2022,Jakob Graff,"Outline:

A/B testing
Starting with A/B testing
A/B testing culture
"
2.62947E+11,WEBINAR,Load Testing ML Microservices for Robustness and Scalability,Simulating load for ensuring robustness,08-02-2022,Emmanuel Raj,"MLOps workflow walk thru (to see where in MLOps does the load test make sense)
Run a weather prediction micro service locally (on laptop) using docker + FastAPI
Running Locust.io service (for load testing)
Simulate users and test the micro service endpoint for robustness, scalability and performance
Suggestions to make the load test work in the MLOps workflows"
2.59062E+11,PODCAST,Machine Learning System Design Interview,Preparing for the ML design interview,04-02-2022,Valerii Babushkin,"Outline:

ML system design vs “traditional” system design
Interview case walk-through
Preparing for ML system design interviews"
2.5529E+11,PODCAST,Career Coaching,Helping bootcamp students get hired,28-01-2022,Lindsay McQuade,"Outline:

Responsibilities of a career coach
Most common problems of bootcamp students
Dealing with impostor syndrome
Job search tips"
2.40818E+11,PODCAST,Product Management Essentials for Data Professionals,Learning to treat data as a product,21-01-2022,Greg Coquillo,"Outline:

The role of a product manager
Developing a product mindset
Learning product manager for data scientists and other data professionals"
2.38674E+11,WEBINAR,Software Testing for Machine Learning Pipelines,Make ML software more reliable,19-01-2022,Arseny Kravchenko,"A crash course on how to make ML software more reliable, including best practices on testing and other aspects of defensive programming. We will cover software testing essentials with a focus on machine learning and artificial intelligence use cases."
2.40809E+11,PODCAST,Recruiting Data Professionals,Confessions of a data recruiter,14-01-2022,Alicja Notowska,"Outline:

The day in a life of a recruiter
CV screening
Initial phone interview
Salary negotiation"
2.37808E+11,PODCAST,DataTalks.Club Behind the Scenes,How DataTalks.Club started and where it’s going,12-01-2022,"Eugene Yan, Alexey Grigorev","Outline:

Alexey and his career
DataTalks.Club and how it started
DataTalks.Club - behind the scenes
Machine Learning Bookcamp and Machine Learning Zoomcamp
Questions from the community"
2.33688E+11,WEBINAR,Fraud Detection in Financial Industry,Using machine learning for fraud detection,11-01-2022,Kate Ogochukwu Nwankwo,"Outline:

Financial industry
Uses of AI in the financial industry
Fintechs and fraud challenges
Fraud detection
How machine learning is used to detect fraud in the financial industry"
2.26594E+11,PODCAST,Becoming a Data Science Manager,Transitioning from senior to manager and dealing with new responsibilities,17-12-2021,Mariano Semelman,"Outline:

A day of a data science manager
Transitioning from a senior data scientist to a manager
Dealing with new responsibilities
Helping people grow"
2.2659E+11,PODCAST,Leading NLP Teams,Are NLP teams are different and how to lead them,16-12-2021,Ivan Bilan,"Outline:

NLP vs data vs regular software engineering teams
Leading NLP teams
MLOps for NLP"
2.25514E+11,WEBINAR,AI in Fashion - Size & Fit,Determining the right size and fit for customers,14-12-2021,Nour Karessli,"Online fashion shopping has been increasingly attracting customers at an unprecedented rate, yet choosing the right size and fit remains a major challenge. The absence of sensory feedback leads to uncertainties in the buying decision and the hurdle of returning items that don't fit well. This causes frustration on the customer side and a large ecological and economical footprint on the business side. Recent research work on determining the right size and fit for customers is still in its infancy and remains very challenging. In this talk, we will navigate through the complex size & fit problem space and focus on how intelligent size and fit recommendation systems and machine learning solutions leverage different data sources to address this challenging problem."
2.25514E+11,WEBINAR,AI-Powered Computer Vision Applications in Media Industry,Facial recognition and automatic caption generation for online newspapers,07-12-2021,Yulia Pavlova,"We start with a brief introduction of descriptive metadata and its role for discoverability of media content. We then investigate two human-centered AI applications.

First, we will look at facial recognition and discuss how to process, augment, annotate and create bounding boxes around identified public figures/celebrities in images using platform microservices.

Secondly, the audience will be introduced to automatic caption generation using customized sequence-to-sequence model. As an example, we will use sports images from English Premier League.

Finally, we combine both approaches to generate descriptive metadata that replicates human-like style."
2.18862E+11,PODCAST,Product Management for Machine Learning,The role and responsibilities of AI/ML product manager,03-12-2021,Geo Jolly,"Outline:

What AI/ML product managers do
AI/ML PM vs Data PM vs “Usual” PM
The main challenges of the role
From Data science to AI product management"
2.14532E+11,WEBINAR,Hypothesis Testing: Bayesian or Frequentist?,Two ways of looking at the same coin ,01-12-2021,Andre Schumacher,"Outline:

Brief intro the concepts of classical frequentist methods applied to deciding whether a coin is fair
.. followed by an only slightly biased comparison of classical (frequentist) hypothesis testing and Bayesian methods
The goal of the talk is to stay practical, while highlighting some of the often forgotten assumptions of either method
"
2.14527E+11,PODCAST,Moving from Academia to Industry,From doing research to leading data scientists,26-11-2021,CJ Jenkins,"Outline:

Similarities and differences between research and industry
Steps to make the transition
The most useful skills"
2.06843E+11,WEBINAR,Paradoxes in Data Science,"Cognitive paradoxes: Simpson's paradox, accuracy paradox and others",23-11-2021,Pier Paolo Ippolito,"Paradoxes are a class of phenomena that arise when, although starting from premises known as true, we derive some sort of logically unreasonable result. As Machine Learning models create knowledge from data, this makes them susceptible to possible cognitive paradoxes between training and testing. In this talk, Pier Paolo Ippolito will walk you through some of the main paradoxes associated with Data Science and how they can be identified.

Outline:

Simpson’s Paradox
Accuracy Paradox
Learnability-Godel Paradox
The Law of Unintended Consequences"
2.06836E+11,PODCAST,Advancing Big Data Analytics: Post-Doctoral Research,Moving the frontiers of analytics,19-11-2021,Eleni Tzirita Zacharatou,"Outline:

Responsibilities of a postdoc
Helping PhD students with research
Teaching"
1.93114E+11,WEBINAR,Notebooks in Production - Fun or not Fun?,Putting notebooks in production at Delivery Hero,16-11-2021,Nick Bilozerov,"Outline:

Notebooks in production: the reasoning behind and results
ML training with notebooks from local machine to live
Improving DS efficiency with Jupyter Notebooks, Papermil and Airflow"
2.06817E+11,PODCAST,Becoming a Data Product Manager,From design to product management,12-11-2021,Sara Menefee,"Outline:

Responsibilities of a data PM
Transitioning from design to product management
Courses and other useful resources"
1.69888E+11,WEBINAR,Back-of-the-Envelope Calculation For Machine Learning Projects,Confirming that our future ML project is worthwhile,10-11-2021,Larysa Visengeriyeva,"One of the best practices that we know from great engineers is the back-of-the-envelope calculation to estimate costs and resources. I believe that in Machine Learning Engineering, we all would benefit from such a “back-of-the-envelope calculation” skill to create a prototype of an ML Project. We need to confirm - as cheaply as possible - that our future ML project is worthwhile, that it will solve my business problem, and that costs and resources are feasible. In my talk, I suggest a design toolkit for ML projects to perform such rough prototyping by using three canvases: Machine Learning Canvas, Data Landscape Canvas, and MLOps Stack Canvas.

"
1.92414E+11,WEBINAR,Introduction to NLP for Industry Use,"NLP products: approaches, team, and tools",09-11-2021,Ivan Bilan,"NLP today
Building NLP projects
Managing NLP teams
NLP tools"
1.97818E+11,PODCAST,Data Science Manager vs Data Science Expert,Who do you need in your team?,05-11-2021,Barbara Sobkowiak,"Do you need an expert or a manager?
Data science manager - core skills and responsibilities
Data science expert - core skills and responsibilities"
1.95275E+11,WEBINAR,Algorithmic Fairness,Identifying and mitigating bias in data,02-11-2021,ráinne McKnight,"Outline:

What does it mean to be algorithmically fair?
How is bias introduced into data products?
Technical approaches for identifying & mitigating data bias"
1.97251E+11,PODCAST,Ace Non-Technical Data Science Interviews,Behavioral and product sense interview rounds,28-10-2021,Nick Singh,"Outline:

Structure of the data science interview
Behavioral interviews
Product sense rounds
"
1.93263E+11,WEBINAR,The War of Gradient Boosted Trees,Differences and practical tips,26-10-2021,Naomi Nguyen,"Outline:

Gradient boosted trees overview
Innovations from each of 3 popular libraries: XGBoost, LightGBM, CatBoost
Comparison across big/small, balanced/imbalanced datasets
Practical tuning tips"
